,name,test_loss,train_loss,split,factors,epochs,learning_rate,regularization,dataset_len
1,Books_5,1.0763175093341302,7.9325657,100,5,80,0.1,0.0001,3316
2,Clothing_Shoes_and_Jewelry_5,1.52438411586638,5.2707677,100,5,80,0.1,0.0001,1377
5,Home_and_Kitchen_5,1.4780048291985683,3.4296918,100,5,80,0.1,0.0001,842
3,Electronics_5,1.8660482529406168,3.2967975,100,5,80,0.1,0.0001,822
7,Movies_and_TV_5,1.5673674946041485,1.7074176,100,5,80,0.1,0.0001,416
6,Kindle_Store_5,0.80092110930684,1.1313746,100,5,80,0.1,0.0001,271
0,Automotive_5,1.5609955382195586,1.3705685,100,5,80,0.1,0.0001,208
4,Grocery_and_Gourmet_Food_5,1.3888368181600617,1.053659,100,5,80,0.1,0.0001,139
