,name,test_loss,train_loss,split,factors,epochs,learning_rate,regularization,dataset_len
1,Books_5,1.07627560008284,9.317855,100,6,80,0.1,0.0001,3316
2,Clothing_Shoes_and_Jewelry_5,1.5246536620118316,6.1422377,100,6,80,0.1,0.0001,1377
5,Home_and_Kitchen_5,1.4772709947218827,3.9593375,100,6,80,0.1,0.0001,842
3,Electronics_5,1.866559561331094,3.777203,100,6,80,0.1,0.0001,822
7,Movies_and_TV_5,1.568215689060575,1.9086416,100,6,80,0.1,0.0001,416
6,Kindle_Store_5,0.8009609447952778,1.2614422,100,6,80,0.1,0.0001,271
0,Automotive_5,1.560906428100142,1.5115991,100,6,80,0.1,0.0001,208
4,Grocery_and_Gourmet_Food_5,1.3884441644986325,1.1518699,100,6,80,0.1,0.0001,139
