,name,test_loss,train_loss,split,factors,epochs,learning_rate,regularization,dataset_len
1,Books_5,20.64718061440872,12.15423,100,5,10,0.001,0.0001,3316
2,Clothing_Shoes_and_Jewelry_5,20.82484817037918,11.027056,100,5,10,0.001,0.0001,1377
5,Home_and_Kitchen_5,21.21616862350403,10.887975,100,5,10,0.001,0.0001,842
3,Electronics_5,21.671600240262663,10.491722,100,5,10,0.001,0.0001,822
7,Movies_and_TV_5,19.95306424762465,9.825625,100,5,10,0.001,0.0001,416
6,Kindle_Store_5,20.13010989247665,10.228392,100,5,10,0.001,0.0001,271
0,Automotive_5,23.0792224515446,10.738464,100,5,10,0.001,0.0001,208
4,Grocery_and_Gourmet_Food_5,22.319534610858348,10.503583,100,5,10,0.001,0.0001,139
