,name,test_loss,train_loss,split,factors,epochs,learning_rate,regularization,dataset_len
1,Books_5,1.0808875883575,0.56963295,100,5,400,0.1,0.0001,3316
2,Clothing_Shoes_and_Jewelry_5,1.5383704880885156,0.7096403,100,5,250,0.1,0.0001,1377
5,Home_and_Kitchen_5,1.4859835613141128,0.69494456,100,5,200,0.1,0.0001,842
3,Electronics_5,1.890178288187927,0.7891621,100,5,200,0.1,0.0001,822
7,Movies_and_TV_5,1.5689965825687,1.2444139,100,5,100,0.1,0.0001,416
6,Kindle_Store_5,0.8011127468694553,1.1338713,100,5,80,0.1,0.0001,271
0,Automotive_5,1.560868145362753,1.3531795,100,5,80,0.1,0.0001,208
4,Grocery_and_Gourmet_Food_5,1.3878050439313923,1.0616263,100,5,80,0.1,0.0001,139
